ID,Inc,Hisp,Age,WHITE,Gender
R_dbTpgNCUaQtIifr,$100K to $150K,Not Hispanic,40,White,Female
R_51QVYKmeIc9iLpH,$100K to $150K,Not Hispanic,50,White,Male
R_9Fy2uWRvtBBSouh,Less than $15K,Not Hispanic,54,White,Female
R_b444PyqTixypGPX,$75K to $100K,Not Hispanic,58,White,Male
R_55RM09n4GI3CF7v,$100K to $150K,Not Hispanic,57,White,Male
R_a9SGe2Q0vqDwLIx,Less than $15K,Not Hispanic,52,White,Female
R_1M8vjCUUKzaKPOZ,$200K to $250K,,54,White,Male
R_cUNJepsUmIkUTJP,Prefer not to answer,Not Hispanic,49,White,Male
R_bvnQ9ZTPHceP19X,Less than $15K,Not Hispanic,59,Non-white,Female
R_1TvgbSOyCqHdriB,$100K to $150K,Not Hispanic,39,White,Male
R_5544QWHvSCPDRuB,Prefer not to answer,Not Hispanic,60,White,Male
R_bdrBWyOCANwjDiR,$50K to $75K,Not Hispanic,53,White,Male
R_dcDiLB7IoNxU1hz,$250K to $500K,Not Hispanic,40,White,Female
R_ePf3FIJF8oNI6tD,$100K to $150K,Not Hispanic,24,White,Female
R_3UUExeZBCduQbI1,$50K to $75K,Hispanic,45,Non-white,Male
R_a8LEFbrH0Wp3qT3,$25K to $50K,Not Hispanic,52,White,Female
R_1B4CIIcyN7bIqXj,$250K to $500K,Not Hispanic,39,White,Female
R_9YV7piSIBe83OIt,$15K to $25K,Not Hispanic,36,Non-white,Female
R_2fX8SHmNC7HX1TD,Less than $15K,Not Hispanic,54,Non-white,Female
R_6heI9KJCLmdeBDf,$75K to $100K,,50,White,Male
R_9zdPVAvIwYXhMW1,Prefer not to answer,Not Hispanic,59,White,Female
R_0HQBgJm7GmMFYzj,$200K to $250K,Not Hispanic,57,White,Male
R_bBDUslRw4LHY51P,$100K to $150K,Not Hispanic,39,White,Male
R_b1otYsHutOy1dSl,$100K to $150K,Not Hispanic,30,Non-white,Male
R_b3DH3y6PzY8itdH,$50K to $75K,Not Hispanic,18,White,Female
R_29vXezNFzmN6esl,$75K to $100K,Not Hispanic,59,White,Male
R_b1ThhJjBZVK9LPD,Prefer not to answer,Not Hispanic,55,White,Female
R_0P1koNuBT7ZjXVz,$75K to $100K,Not Hispanic,32,White,Male
R_1YOIny0ZHw4T0rz,Prefer not to answer,Not Hispanic,45,White,Female
R_6eNNi4bpXoilwy1,$100K to $150K,Not Hispanic,23,White,Female
R_9pG4IM28eFLqoDz,$75K to $100K,Not Hispanic,22,White,Female
R_2sPvTxpAqh4sytD,$150K to $200K,Not Hispanic,29,White,Female
R_1QQortSBPxQt23X,$150K to $200K,Not Hispanic,77,White,Male
R_7VBrEBe4DCLTvfv,$25K to $50K,Not Hispanic,37,Non-white,Male
R_4HZQ9VhPAV6MwMl,$25K to $50K,Not Hispanic,19,Non-white,Male
R_2fVwEhQhApmjeJL,$150K to $200K,Not Hispanic,45,White,Male
R_3qHaFaAhGwAnVFr,$15K to $25K,Not Hispanic,25,Non-white,Female
R_1WSOZX99izSN2AZ,$100K to $150K,Not Hispanic,41,White,Female
R_eb0gvywMog1rlc1,$25K to $50K,Not Hispanic,53,Non-white,Female
R_0UmvaYZM77UbDbD,$75K to $100K,Not Hispanic,43,Non-white,Male
R_bfoPPmyFnA0WtgN,$150K to $200K,Not Hispanic,24,White,Female
R_6hWJrdGMheoq1pP,$50K to $75K,Not Hispanic,62,White,Male
R_4I46G85lXoyKrNX,$50K to $75K,Not Hispanic,22,White,Male
R_cvVC4haZ471LqIJ,$75K to $100K,Not Hispanic,94,White,Male
R_6gR9bxR8sqrGpVz,$25K to $50K,Not Hispanic,45,White,Male
R_39OgukISIASk3tz,$25K to $50K,,18,White,Male
R_8CjB1T2uSJYkRaR,$75K to $100K,Not Hispanic,27,White,Male
R_4YOncjsby6D7aQZ,$25K to $50K,Not Hispanic,22,White,Male
R_9QqbikWcxIohAK9,$100K to $150K,Not Hispanic,22,White,Male
R_9Fw23igU92NqS5D,$100K to $150K,Not Hispanic,36,White,Female
R_0kAps59SlbdSY29,$50K to $75K,Not Hispanic,69,White,Male
R_9o6mliXxMId9Z89,$50K to $75K,,61,White,Female
R_7OtEQ5SUBy4ut2R,$25K to $50K,Not Hispanic,63,Non-white,Male
R_3r5XnIjyYck1aiV,$100K to $150K,Not Hispanic,61,White,Male
R_8kLw4Gk1Wgherqt,$25K to $50K,Not Hispanic,67,White,Female
R_39sslX1ghfrkZNP,$75K to $100K,Hispanic,31,White,Female
R_6zGqm8tFXRaF0ep,$50K to $75K,Not Hispanic,21,Non-white,Female
R_5vWIaKahzEljSQd,$100K to $150K,Not Hispanic,21,White,Female
R_cMAPTNH8tYDQoiF,$50K to $75K,Hispanic,48,White,Female
R_4V04U1vYwVvoKb3,$150K to $200K,Not Hispanic,27,White,Female
