ID,Inc,Hisp,Ideo,Age,HD1,HD2,HD3,HD4,HR1,HR2,HR3,HR4,PID7,PID3_p,WHITE,HDans,HRans,Gender,GenR,GenD,dkR,dkD
R_dbTpgNCUaQtIifr,$100K to $150K,Not Hispanic,Slightly conservative,40,idiots,,,,conservative,,,,Ind,Independent (excludes leaners),White,1,1,Female,conservative|||,idiots|||,1,1
R_51QVYKmeIc9iLpH,$100K to $150K,Not Hispanic,Slightly conservative,50,liberal,,,,conservative,,,,Weak R,Republicans,White,1,1,Male,conservative|||,liberal|||,1,1
R_9Fy2uWRvtBBSouh,Less than $15K,Not Hispanic,Liberal,54,liberal,loyal,ideological,individualistic,narrow minded,constitutionalist,religious,controlling,Lean D,Democrat,White,4,4,Female,narrow minded|constitutionalist|religious|controlling,liberal|loyal|ideological|individualistic,0,0
R_b444PyqTixypGPX,$75K to $100K,Not Hispanic,Slightly conservative,58,liberal,freethinkers,young,homemakers,conservatives,haters,liars,thieves,Lean D,Democrat,White,4,4,Male,conservatives|haters|liars|thieves,liberal|freethinkers|young|homemakers,0,0
R_55RM09n4GI3CF7v,$100K to $150K,Not Hispanic,Conservative,57,liberal,minority,women,poor,educated,male,rich,career,Strong R,Republicans,White,4,4,Male,educated|male|rich|career,liberal|minority|women|poor,0,0
R_a9SGe2Q0vqDwLIx,Less than $15K,Not Hispanic,Conservative,52,liberal,leftist,spenders,free for all,conservative,right leaning,frugal,staunch,Strong R,Republicans,White,4,4,Female,conservative|right leaning|frugal|staunch,liberal|leftist|spenders|free for all,0,0
R_1M8vjCUUKzaKPOZ,$200K to $250K,,Slightly conservative,54,weak,no changes,incompetent,tantic,new,powerful,change,hope,Strong R,Republicans,White,4,4,Male,new|powerful|change|hope,weak|no changes|incompetent|tantic,0,0
R_cUNJepsUmIkUTJP,Prefer not to answer,Not Hispanic,Liberal,49,?,?,?,?,?,?,?,?,Lean D,Democrat,White,4,4,Male,?|?|?|?,?|?|?|?,0,0
R_bvnQ9ZTPHceP19X,Less than $15K,Not Hispanic,Conservative,59,more liberally inclined,union affiliated,blue  collar,passionate,conservative,christian values,wealthy,constitution oriented,Weak R,Republicans,Non-white,4,4,Female,conservative|christian values|wealthy|constitution oriented,more liberally inclined|union affiliated|blue  collar|passionate,0,0
R_1TvgbSOyCqHdriB,$100K to $150K,Not Hispanic,Extremely Liberal,39,stupid,liberal,wise,led,stupid,selfish,rich,ignorant,Lean D,Democrat,White,4,4,Male,stupid|selfish|rich|ignorant,stupid|liberal|wise|led,0,0
