caseid,p_romney,p_obama,presvote2012_x,dem_raceeth_x,discuss_disc,libcpre_self,pid_x,relig_church,dem_age_r_x,gender_respondent_x,paprofile_interestpolit,patriot_flag,sample_stfips
1,0.070615105,0.929384895,-2,2,-6,1,1,1,86,2,-1,-6,1
2,0.128104061,0.871895939,1,2,1,1,1,2,79,1,-1,2,1
3,0.100207256,0.899792744,1,2,1,-2,1,1,72,2,-1,1,1
4,0.092231054,0.907768946,1,2,1,-2,1,1,54,2,-1,1,1
5,0.121277158,0.878722842,1,2,1,2,3,2,35,1,-1,1,1
6,0.190698212,0.809301788,-2,2,-8,-8,4,2,80,1,-1,2,1
7,0.081575459,0.918424541,1,2,1,-2,1,1,50,2,-1,2,1
8,0.168278343,0.831721657,-2,2,2,-2,3,1,70,2,-1,2,1
9,0.221059297,0.778940703,1,2,1,4,1,1,22,2,-1,3,1
10,0.867610279,0.132389721,2,1,1,6,6,1,49,1,-1,3,4
11,0.729281554,0.270718446,2,1,1,4,5,1,-2,1,-1,2,4
12,0.722831431,0.277168569,-2,1,1,5,5,2,47,1,-1,2,4
13,0.357383451,0.642616549,1,1,1,3,2,1,64,2,-1,2,4
14,0.467133649,0.532866351,-2,1,1,4,4,1,56,2,-1,2,4
15,0.9705759,0.0294241,2,1,1,6,7,1,59,2,-1,1,4
16,0.850682003,0.149317997,2,1,1,6,6,2,61,1,-1,1,4
17,0.908747742,0.091252258,2,1,1,6,6,1,51,1,-1,1,4
18,0.237451671,0.762548329,1,1,2,-2,1,1,61,2,-1,2,4
19,0.650058282,0.349941718,-2,1,1,-2,6,1,34,2,-1,2,5
20,0.275039335,0.724960665,-2,6,2,3,3,2,48,2,-1,2,5
21,0.927716099,0.072283901,2,1,1,6,7,2,25,1,-1,2,5
22,0.378655495,0.621344505,-2,1,2,-2,3,1,34,2,-1,1,5
23,0.484428655,0.515571345,-2,1,1,3,2,1,29,1,-1,2,5
24,0.0704537,0.9295463,-2,1,-6,-2,1,1,85,2,-1,-6,5
25,0.770406188,0.229593812,2,1,1,5,4,1,77,1,-1,2,5
26,0.661140628,0.338859372,-2,1,-6,4,2,1,51,1,-1,-6,5
27,0.922642578,0.077357422,2,1,1,6,5,1,53,1,-1,2,5
28,0.90594432,0.09405568,2,1,1,5,7,1,83,2,-1,2,5
29,0.621598791,0.378401209,1,1,1,-2,4,2,56,1,-1,2,5
