V160001_orig,p_trump,p_clinton,V162062x,V161310x,V162174,V161126,V161158x,V161244,V161267,V161342,V162256,V162125x,V161010d
300001,0.963813333,0.036186667,2,1,1,99,7,1,29,1,2,1,22
300002,0.774790899,0.225209101,2,1,1,5,6,2,26,1,1,1,5
300003,0.242267804,0.757732196,-2,1,2,99,3,2,23,1,3,2,28
300004,0.96207117,0.03792883,2,1,1,99,5,1,58,1,2,1,47
300006,0.236712527,0.763287473,4,1,2,4,3,1,38,2,3,1,39
300007,0.948104417,0.051895583,2,1,1,6,5,1,60,1,1,1,34
300008,0.100613914,0.899386086,1,2,2,99,1,1,58,1,3,1,36
300012,0.416625824,0.583374176,2,1,1,5,4,2,56,2,2,1,34
300018,0.750778871,0.249221129,-2,6,1,4,5,1,45,1,2,1,48
300020,0.250591594,0.749408406,3,1,1,3,3,1,30,2,2,1,28
300021,0.847377244,0.152622756,-2,1,-6,99,5,2,40,2,-6,-6,22
300023,0.031954829,0.968045171,-2,1,-6,2,3,2,86,2,-6,-6,37
300026,0.521723516,0.478276484,3,5,1,4,5,2,30,1,1,1,9
300030,0.489409204,0.510590796,2,1,1,99,2,1,67,1,2,1,39
300034,0.031157213,0.968842787,1,1,1,2,1,1,62,2,1,2,20
300038,0.02846554,0.97153446,-2,1,1,99,1,2,51,1,3,4,25
300039,0.019216279,0.980783721,1,5,1,2,1,2,46,1,1,2,11
300040,0.94561176,0.05438824,2,1,1,6,7,2,70,1,2,1,35
300041,0.025352782,0.974647218,1,1,1,3,1,1,30,2,2,2,36
300042,0.572166114,0.427833886,-2,1,1,99,6,1,67,2,3,1,53
300045,0.723822923,0.276177077,2,1,1,5,6,1,66,2,2,1,22
300046,0.269681294,0.730318706,2,1,1,3,6,2,32,2,2,1,4
300047,0.926099205,0.073900795,1,1,1,99,5,1,56,2,2,1,42
300049,0.898204701,0.101795299,2,1,2,6,5,1,65,2,3,1,20
300050,0.903080856,0.096919144,2,6,1,7,5,2,61,1,2,1,22
300051,0.726488141,0.273511859,-2,4,1,99,5,1,34,1,4,2,42
300053,0.158144046,0.841855954,-2,1,2,2,4,1,68,-9,3,1,12
300056,0.773108008,0.226891992,-9,1,1,99,4,1,25,2,2,1,47
300058,0.011359024,0.988640976,1,1,1,2,3,2,73,1,1,4,25
300059,0.561474496,0.438525504,-9,1,1,4,4,1,67,2,2,1,20
300062,0.045910548,0.954089452,-2,1,1,2,2,1,35,2,2,2,4
300064,0.977081673,0.022918327,-2,1,-6,6,7,1,64,1,-6,-6,20
300070,0.925918507,0.074081493,2,1,1,6,7,1,73,2,2,1,35
300072,0.960539579,0.039460421,2,1,1,7,5,1,69,1,1,1,17
300073,0.078583809,0.921416191,-2,1,1,4,6,1,41,2,4,4,25
300082,0.259853236,0.740146764,1,1,1,2,2,1,67,1,2,2,47
300085,0.022497701,0.977502299,-2,1,-6,99,3,2,59,2,-6,-6,8
300092,0.969221209,0.030778791,2,1,1,4,7,1,54,1,1,1,20
300093,0.061388499,0.938611501,-2,5,1,4,3,2,48,1,1,1,25
300094,0.023640628,0.976359372,1,2,1,2,2,1,26,2,2,6,13
300098,0.905410897,0.094589103,2,1,1,6,5,1,-9,-9,2,1,5
300099,0.863369829,0.136630171,2,1,2,5,7,1,25,2,2,2,55
300100,0.023055297,0.976944703,1,2,1,1,1,1,46,2,2,1,11
300103,0.982000482,0.017999518,2,1,1,6,7,1,59,1,1,1,36
300106,0.775905489,0.224094511,2,1,1,4,5,1,39,2,2,1,20
300107,0.14339698,0.85660302,1,1,1,3,2,1,52,2,1,1,17
300109,0.765152315,0.234847685,-2,5,1,6,4,1,29,2,3,1,48
300111,0.907835912,0.092164088,2,1,1,4,5,1,46,1,1,1,37
300113,0.038746128,0.961253872,-2,6,1,2,1,2,45,1,2,2,47
300116,0.369229629,0.630770371,1,2,-6,99,2,1,64,1,-6,-6,37
300119,0.128292782,0.871707218,-2,1,-6,4,3,1,43,2,-6,-6,5
300121,0.08770779,0.91229221,1,1,1,2,1,1,61,2,2,1,13
300123,0.701656565,0.298343435,-2,1,-6,5,6,2,30,1,-6,-6,39
300124,0.880668917,0.119331083,2,1,1,6,6,1,55,1,2,1,55
300131,0.048083918,0.951916082,1,1,1,2,1,2,35,2,2,4,47
300135,0.130626768,0.869373232,-2,1,2,3,3,2,24,2,2,2,47
300136,0.672752516,0.327247484,1,5,2,99,5,1,85,2,4,4,48
300137,0.035905384,0.964094616,1,5,1,4,1,1,61,1,2,2,9
300140,0.02764096,0.97235904,1,1,2,2,1,1,52,2,3,3,25
300142,0.863850925,0.136149075,-2,1,1,99,5,2,56,1,3,1,17
300143,0.023556297,0.976443703,1,2,1,2,1,1,68,1,2,2,48
300144,0.075103774,0.924896226,1,2,2,99,1,1,76,2,2,2,28
300146,0.806224959,0.193775041,2,1,2,4,5,2,31,1,4,1,42
300148,0.285242425,0.714757575,2,1,1,4,6,1,19,2,3,1,35
300150,0.072632733,0.927367267,-2,1,-6,99,1,1,47,2,-6,-6,40
300151,0.070086086,0.929913914,-2,1,-6,4,3,2,68,2,-6,-6,17
300152,0.007540646,0.992459354,1,1,1,2,1,1,57,1,1,4,25
300153,0.775460399,0.224539601,-2,1,2,5,5,2,27,2,4,1,47
300154,0.51947616,0.48052384,-2,1,1,5,5,2,32,2,2,2,28
300155,0.081749917,0.918250083,-2,1,1,2,1,2,45,1,1,4,47
300161,0.048931179,0.951068821,1,5,1,99,2,1,50,2,3,4,6
