V200001,p_trump,p_biden,V202110x,V201549x,V202022,V201200,V201231x,V201452,V201507x,V201600,V202406,V201007d
300038,0.30884921,0.69115079,2,2,1,5,1,2,33,1,2,-2
300076,0.233623907,0.766376093,-1,2,-6,4,3,1,53,2,-6,-2
300083,0.683736883,0.316263117,2,1,1,7,6,1,36,2,3,-2
300106,0.682399475,0.317600525,2,1,1,5,7,1,80,2,2,-2
300113,0.265549956,0.734450044,1,1,1,1,3,2,21,2,2,-2
300137,0.405917465,0.594082535,1,1,1,3,3,2,29,1,3,-2
300144,0.524582244,0.475417756,2,1,1,4,6,2,80,2,2,-2
300168,0.259350306,0.740649694,1,4,1,2,3,2,26,1,2,-2
300212,0.397123197,0.602876803,1,2,1,99,4,2,25,1,2,-2
300229,0.570470865,0.429529135,-1,1,1,4,4,2,52,1,4,-2
300281,0.317260383,0.682739617,1,1,1,3,1,1,61,1,1,-2
300298,0.321967941,0.678032059,1,1,1,3,1,2,29,1,1,-2
300311,0.297586301,0.702413699,1,1,1,4,3,2,56,2,3,-2
300373,0.830328384,0.169671616,2,6,1,6,7,1,38,2,2,-2
300397,0.310752536,0.689247464,1,1,1,3,1,1,-9,1,2,-2
300403,0.586426101,0.413573899,2,1,1,5,5,2,63,1,3,-2
300458,0.704470794,0.295529206,2,1,1,5,5,1,54,1,2,-2
300502,0.761506352,0.238493648,2,1,1,6,7,1,80,2,2,-2
300526,0.544555454,0.455444546,-1,1,1,5,6,2,47,1,3,-2
300533,0.288896538,0.711103462,1,3,1,4,2,1,24,2,2,-2
300540,0.338810222,0.661189778,-1,1,2,99,3,2,50,1,3,-2
300618,0.319757168,0.680242832,-1,1,-6,99,2,2,25,2,-6,-2
300632,0.305716496,0.694283504,1,1,1,4,3,2,24,2,2,-2
300656,0.264718155,0.735281845,1,1,1,4,1,2,57,2,2,-2
300663,0.815154706,0.184845294,2,1,1,6,7,1,62,2,2,-2
300687,0.46262558,0.53737442,-1,2,1,99,4,2,34,1,4,-2
