"","V160001_orig","V161342","V161310x","V161267","V161270","V161244","V162125x","V162174","V162256","V161126","V161155","V161158x","V162031x","V162062x","age_gpt3","church_goer_gpt3","discuss_politics_gpt3","education_gpt3","gender_gpt3","ideology_gpt3","patriotism_gpt3","pid7_gpt3","political_interest_gpt3","race_gpt3","votechoice_2016_gpt3","voted_2016_gpt3"
"1",300001,1,1,29,9,1,1,1,2,99,2,7,1,2,28,1,1,13,1,5,1,7,1,1,2,1
"2",300002,1,1,26,13,2,1,1,1,5,2,6,1,2,30,1,1,12,1,5,1,7,1,1,42,1
"3",300003,1,1,23,9,2,2,2,3,99,3,3,-2,-2,22,2,1,12,1,3,1,5,3,1,42,0
"4",300004,1,1,58,9,1,1,1,2,99,0,5,1,2,28,1,1,12,1,5,1,7,1,1,2,1
"5",300006,2,1,38,9,1,1,2,3,4,3,3,1,4,22,2,1,12,1,2,1,5,1,1,1,1
"6",300007,1,1,60,14,1,1,1,1,6,0,5,1,2,35,1,1,12,1,5,1,7,1,1,2,1
"7",300008,1,2,58,5,1,1,2,3,99,1,1,1,1,28,2,1,12,1,1,1,2,1,1,1,1
"8",300012,2,1,56,9,2,1,1,2,5,3,4,1,2,29,1,1,12,1,3,1,7,1,1,42,1
"9",300018,1,6,45,9,1,1,1,2,4,3,5,-2,-2,25,1,1,12,1,5,1,5,1,1,2,1
"10",300020,2,1,30,10,1,1,1,2,3,3,3,1,3,22,1,1,12,1,3,1,2,1,1,1,1
"11",300021,2,1,40,7,2,-6,-6,-6,99,3,5,-2,-2,29,1,1,12,1,5,1,5,3,1,42,0
"12",300023,2,1,86,10,2,-6,-6,-6,2,3,3,-2,-2,29,1,1,12,1,2,1,5,3,1,42,0
"13",300026,1,5,30,13,2,1,1,1,4,5,5,1,3,25,1,1,12,1,5,1,2,1,1,42,1
"14",300030,1,1,67,12,1,1,1,2,99,1,2,1,2,28,1,1,12,1,3,1,7,1,1,42,1
"15",300034,2,1,62,14,1,2,1,1,2,1,1,1,1,30,1,1,12,1,3,1,1,1,1,1,1
"16",300038,1,1,51,9,2,4,1,3,99,1,1,-2,-2,22,1,1,12,1,2,1,5,1,1,42,1
"17",300039,1,5,46,14,2,2,1,1,2,1,1,1,1,30,1,1,12,1,2,1,1,1,1,42,1
"18",300040,1,1,70,13,2,1,1,2,6,2,7,1,2,30,1,1,12,1,7,1,7,1,1,2,1
"19",300041,2,1,30,14,1,2,1,2,3,1,1,1,1,30,1,1,12,1,3,1,2,1,1,1,1
"20",300042,2,1,67,10,1,1,1,3,99,2,6,1,-2,29,1,1,12,1,5,1,5,1,1,42,1
"21",300045,2,1,66,9,1,1,1,2,5,2,6,1,2,29,1,1,12,1,5,1,7,1,1,42,1
"22",300046,2,1,32,12,2,1,1,2,3,2,6,1,2,29,1,1,12,1,5,1,2,1,1,42,1
"23",300047,2,1,56,10,1,1,1,2,99,0,5,1,1,29,1,1,12,1,3,1,2,1,1,42,1
"24",300049,2,1,65,14,1,1,2,3,6,0,5,1,2,36,2,1,12,1,5,1,7,1,1,42,1
"25",300050,1,6,61,8,2,1,1,2,7,3,5,1,2,29,1,1,12,1,5,1,7,1,1,2,1
"26",300051,1,4,34,7,1,2,1,4,99,3,5,-2,-2,22,1,1,12,1,5,1,5,1,1,42,1
"27",300053,-9,1,68,13,1,1,2,3,2,3,4,-2,-2,22,2,1,12,1,3,1,1,3,1,42,1
"28",300056,2,1,25,9,1,1,1,2,99,3,4,1,-9,22,1,1,12,1,2,1,5,1,1,1,1
"29",300058,1,1,73,14,2,4,1,1,2,3,3,1,1,30,1,1,12,1,3,1,1,1,1,42,1
"30",300059,2,1,67,9,1,1,1,2,4,3,4,1,-9,22,1,1,12,2,2,1,5,1,1,42,1
"31",300062,2,1,35,14,1,2,1,2,2,1,2,0,-2,30,2,1,12,1,3,1,2,3,1,42,1
"32",300064,1,1,64,13,1,-6,-6,-6,6,2,7,-2,-2,30,1,1,12,1,5,1,6,1,1,2,1
"33",300070,2,1,73,10,1,1,1,2,6,2,7,1,2,29,1,1,12,1,5,1,7,1,1,2,1
"34",300072,1,1,69,13,1,1,1,1,7,3,5,1,2,30,1,1,13,1,5,1,7,1,1,2,1
"35",300073,2,1,41,13,1,4,1,4,4,2,6,0,-2,22,2,1,12,1,5,1,5,3,1,42,1
"36",300082,1,1,67,16,1,2,1,2,2,1,2,1,1,30,1,1,12,1,3,1,1,1,1,42,1
"37",300085,2,1,59,9,2,-6,-6,-6,99,3,3,-2,-2,29,1,1,12,1,2,1,5,2,1,42,0
